p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
0.0016174040001376,1e-06,1,1,0,1,0,0,0,26.5902324421222,0.998414943081482,6,0,0.353033482508483,3.23480800027521e-05,1e-06
0.00183714303231664,1e-06,1,1,0,1,0,0,0,26.6651822970334,0.998199598830167,6,0,0.395834782964773,3.67428606463328e-05,1e-06
0.00208673560897737,1e-06,1,1,0,1,0,0,0,26.7502924100709,0.997954998105289,6,0,0.444451029060785,4.17347121795473e-05,1e-06
0.00237023760544281,1e-06,1,1,0,1,0,0,0,26.8469366560722,0.997677166149036,6,0,0.499672234007157,4.74047521088563e-05,1e-06
0.00269225592455792,1e-06,1,1,0,1,0,0,0,26.9566736804324,0.997361588196626,6,0,0.562395741488729,5.38451184911584e-05,1e-06
0.00305802335878604,1e-06,1,1,0,1,0,0,0,27.0812714555134,0.997003136111448,6,0,0.633640807484873,6.11604671757208e-05,1e-06
0.00347348362300162,1e-06,1,1,0,1,0,0,0,27.2227350147268,0.996595985052932,6,0,0.714565163162625,6.94696724600326e-05,1e-06
0.00394538793976056,1e-06,1,1,0,1,0,0,0,27.3833377500019,0.99613351882298,6,0,0.806483827989376,7.89077587952112e-05,1e-06
0.00448140474655716,1e-06,1,1,0,1,0,0,0,27.5656566974059,0.995608222352855,6,0,0.910890478777892,8.96280949311433e-05,1e-06
0.00509024430780916,1e-06,1,1,0,1,0,0,0,27.772612276165,0.995011559583437,6,0,1.02948172191029,0.000101804886156183,1e-06
0.00578180025651317,1e-06,1,1,0,1,0,0,0,28.0075129873265,0.994333834754399,6,0,1.16418466316426,0.000115636005130263,1e-06
0.00656731036562049,1e-06,1,1,0,1,0,0,0,28.2741056184093,0.993564034848259,6,0,1.31718822315064,0.00013134620731241,1e-06
0.00745953916166527,1e-06,1,1,0,1,0,0,0,28.5766315376292,0.992689650629028,6,0,1.49097870723793,0.000149190783233305,1e-06
0.00847298534811372,1e-06,1,1,0,1,0,0,0,28.9198896928529,0.991696473367322,6,0,1.68838020797413,0.000169459706962274,1e-06
0.00962411740906029,1e-06,1,1,0,1,0,0,0,29.3093069524383,0.990568363948745,6,0,1.9126004965449,0.000192482348181206,1e-06
0.0109316412218272,1e-06,1,1,0,1,0,0,0,29.7510164322537,0.989286990613541,6,0,2.16728314900325,0.000218632824436543,1e-06
0.0124168040271673,1e-06,1,1,0,1,0,0,0,30.2519444382177,0.987831531065793,6,0,2.45656675432139,0.000248336080543346,1e-06
0.0141037396965822,1e-06,1,1,0,1,0,0,0,30.8199066069837,0.986178334111453,6,0,2.78515216639435,0.000282074793931644,1e-06
0.0160198609073424,1e-06,1,1,0,1,0,0,0,31.4637137359633,0.984300535326824,6,0,3.15837889283954,0.000320397218146847,1e-06
0.0181963045980484,1e-06,1,1,0,1,0,0,0,32.1932876405271,0.982167620512109,6,0,3.58231186190899,0.000363926091960968,1e-06
0.0206684379433782,1e-06,1,1,0,1,0,0,0,33.019787138173,0.979744929836158,6,0,4.06383997747504,0.000413368758867565,1e-06
0.0234764330701023,1e-06,1,1,1,0,0,0,0,33.8221870884734,0.976254086292889,10,0,0.266631439562128,2.34764330701023e-05,1e-06
