group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
NJ-077-2017-L,2017,0,0,9556.26208819079,1,0,0,0,0,0,191125.241763816,9556.26208819079,0,0,0,0,0,L
NJ-078-2017-H,2017,8.72219569218523e-06,0,5732.50151275534,1,0,0,0,0,0,115136.986299457,5732.50151275534,0,0,486.956044349999,8.72219569218523e-06,0,H
NJ-078-2017-L,2017,0,0,5732.50151275534,1,0,0,0,0,0,114650.030255107,5732.50151275534,0,0,0,0,0,L
NJ-079-2017-H,2017,0,0,4071.44340023969,1,0,0,0,0,0,81428.8680047938,4071.44340023969,0,0,0,0,0,H
NJ-079-2017-L,2017,0,0,4071.44340023969,1,0,0,0,0,0,81428.8680047938,4071.44340023969,0,0,0,0,0,L
NJ-080-2017-H,2017,0,0,18476.4361517255,1,0,0,0,0,0,369528.72303451,18476.4361517255,0,0,0,0,0,H
NJ-080-2017-L,2017,0,0,18476.4361517255,1,0,0,0,0,0,369528.72303451,18476.4361517255,0,0,0,0,0,L
NJ-081-2017-H,2017,0,0,2522.47996623254,1,0,0,0,0,0,50449.5993246508,2522.47996623254,0,0,0,0,0,H
NJ-081-2017-L,2017,0,0,2522.47996623254,1,0,0,0,0,0,50449.5993246508,2522.47996623254,0,0,0,0,0,L
NJ-082-2017-H,2017,0,0,4005.31834882231,1,0,0,0,0,0,80106.3669764462,4005.31834882231,0,0,0,0,0,H
NJ-082-2017-L,2017,0,0,4005.31834882231,1,0,0,0,0,0,80106.3669764462,4005.31834882231,0,0,0,0,0,L
NJ-083-2017-H,2017,0,0,3850.44902767818,1,0,0,0,0,0,77008.9805535636,3850.44902767818,0,0,0,0,0,H
NJ-083-2017-L,2017,0,0,3850.44902767818,1,0,0,0,0,0,77008.9805535636,3850.44902767818,0,0,0,0,0,L
NJ-084-2017-H,2017,0,0,914.862339982569,1,0,0,0,0,0,18297.2467996514,914.862339982569,0,0,0,0,0,H
NJ-084-2017-L,2017,0,0,914.862339982569,1,0,0,0,0,0,18297.2467996514,914.862339982569,0,0,0,0,0,L
NJ-085-2017-H,2017,0,0,4930.21071463285,1,0,0,0,0,0,98604.214292657,4930.21071463285,0,0,0,0,0,H
NJ-085-2017-L,2017,0,0,4930.21071463285,1,0,0,0,0,0,98604.214292657,4930.21071463285,0,0,0,0,0,L
NJ-086-2017-H,2017,1.16458911885905e-05,0,4293.35970861423,1,0,0,0,0,0,86354.1502166346,4293.35970861423,0,0,486.956044349999,1.16458911885905e-05,0,H
NJ-086-2017-L,2017,0,0,4293.35970861423,1,0,0,0,0,0,85867.1941722846,4293.35970861423,0,0,0,0,0,L
NJ-087-2017-H,2017,6.93067291684286e-06,0,7214.30669141671,1,0,0,0,0,0,144773.089872684,7214.30669141671,0,0,486.95604435,6.93067291684286e-06,0,H
NJ-087-2017-L,2017,0,0,7214.30669141671,1,0,0,0,0,0,144286.133828334,7214.30669141671,0,0,0,0,0,L
NJ-088-2017-H,2017,0,0,14274.2845068211,1,0,0,0,0,0,285485.690136422,14274.2845068211,0,0,0,0,0,H
NJ-088-2017-L,2017,0,0,14274.2845068211,1,0,0,0,0,0,285485.690136422,14274.2845068211,0,0,0,0,0,L
