group,year,z,a1,a2,a3,a4,m1
DC-200-2017-H,2017,2,0,0,0,2,0
DC-200-2017-L,2017,2,0,0,0,0,0
VA-201-2017-H,2017,2,0,0,0,2,0
VA-201-2017-L,2017,2,0,0,0,2,0
DC-203-2017-H,2017,2,0,0,0,2,0
DC-203-2017-L,2017,2,0,0,0,2,0
DC-205-2017-H,2017,2,0,0,0,2,0
DC-205-2017-L,2017,2,0,0,0,2,0
MD-206-2017-H,2017,2,0,0,0,2,0
MD-206-2017-L,2017,2,0,0,0,2,0
MD-207-2017-H,2017,2,0,0,0,2,0
MD-207-2017-L,2017,2,0,0,0,2,0
MD-208-2017-H,2017,2,0,0,0,2,0
MD-208-2017-L,2017,2,0,0,0,2,0
MD-209-2017-H,2017,2,0,0,0,2,0
MD-209-2017-L,2017,2,0,0,0,2,0
MD-210-2017-H,2017,2,0,0,0,2,0
MD-210-2017-L,2017,2,0,0,0,2,0
MD-211-2017-H,2017,2,0,0,0,0,0
MD-211-2017-L,2017,2,0,0,0,2,0
MD-212-2017-H,2017,2,0,0,0,2,0
MD-212-2017-L,2017,2,0,0,0,2,0
MD-214-2017-H,2017,2,0,0,0,2,0
MD-214-2017-L,2017,2,0,0,0,2,0
MD-215-2017-H,2017,2,0,0,0,2,0
MD-215-2017-L,2017,2,0,0,2,0,0
MD-216-2017-H,2017,2,0,0,1,1,0
MD-216-2017-L,2017,2,0,0,1,1,0
MD-217-2017-H,2017,2,0,0,0,2,0
MD-217-2017-L,2017,2,0,0,0,2,0
MD-218-2017-H,2017,2,0,0,0,2,0
MD-218-2017-L,2017,2,0,0,0,2,0
MD-219-2017-H,2017,2,0,0,0,2,0
MD-219-2017-L,2017,2,0,0,0,2,0
VA-220-2017-H,2017,2,0,0,0,2,0
VA-220-2017-L,2017,2,0,0,0,2,0
VA-221-2017-H,2017,2,0,0,0,0,0
VA-221-2017-L,2017,2,0,0,0,2,0
VA-222-2017-H,2017,2,0,0,0,2,0
VA-222-2017-L,2017,2,0,0,0,2,0
VA-223-2017-H,2017,2,0,0,0,2,0
VA-223-2017-L,2017,2,0,0,1,1,0
VA-224-2017-H,2017,2,0,0,2,0,0
VA-224-2017-L,2017,2,0,0,0,2,0
VA-225-2017-H,2017,2,0,0,2,0,0
VA-225-2017-L,2017,2,0,0,0,0,0
VA-226-2017-H,2017,2,0,0,2,0,0
VA-226-2017-L,2017,2,0,0,2,0,0
VA-227-2017-H,2017,2,0,0,2,0,0
VA-227-2017-L,2017,2,0,0,2,0,0
VA-228-2017-H,2017,2,0,0,1,1,0
VA-228-2017-L,2017,2,0,0,1,1,0
VA-229-2017-H,2017,2,0,0,2,0,0
VA-229-2017-L,2017,2,0,0,2,0,0
VA-230-2017-H,2017,2,0,0,1,1,0
VA-230-2017-L,2017,2,0,0,2,0,0
VA-231-2017-H,2017,2,0,0,2,0,0
VA-231-2017-L,2017,2,0,0,2,0,0
VA-232-2017-H,2017,2,0,0,2,0,0
VA-232-2017-L,2017,2,0,0,2,0,0
VA-233-2017-H,2017,2,0,0,0,0,0
VA-233-2017-L,2017,2,0,0,0,0,0
VA-234-2017-H,2017,2,0,0,0,2,0
VA-234-2017-L,2017,2,0,0,1,1,0
VA-235-2017-H,2017,2,0,0,2,0,0
VA-235-2017-L,2017,2,0,0,2,0,0
VA-236-2017-H,2017,2,0,0,0,2,0
VA-236-2017-L,2017,2,0,0,0,2,0
VA-237-2017-H,2017,2,0,0,0,1,0
VA-237-2017-L,2017,2,0,0,0,2,0
VA-238-2017-H,2017,2,0,0,0,1,0
VA-238-2017-L,2017,2,0,0,0,2,0
VA-239-2017-H,2017,2,0,0,1,1,0
VA-239-2017-L,2017,2,0,0,0,2,0
VA-240-2017-H,2017,2,0,0,0,2,0
VA-240-2017-L,2017,2,0,0,0,2,0
VA-241-2017-H,2017,2,0,0,0,0,0
VA-241-2017-L,2017,2,0,0,0,2,0
VA-242-2017-H,2017,2,0,0,0,2,0
