group,year,z,a1,a2,a3,a4,m1
PR-L-2019,2019,0,0,0,0,0,0
RI-H-2017,2017,0,0,0,0,0,0
RI-H-2018,2018,0,0,0,0,0,0
RI-H-2019,2019,0,0,0,0,0,0
RI-L-2017,2017,0,0,0,0,0,0
RI-L-2018,2018,0,0,0,0,0,0
RI-L-2019,2019,0,0,0,0,0,0
SC-H-2017,2017,0,0,0,0,0,0
SC-H-2018,2018,0,0,0,0,0,0
SC-H-2019,2019,0,0,0,0,0,0
SC-L-2017,2017,0,0,0,0,0,0
SC-L-2018,2018,0,0,0,0,0,0
SC-L-2019,2019,0,0,0,0,0,0
SD-H-2017,2017,0,0,0,0.1154,0.8846,0
SD-H-2018,2018,0,0,0,0.2971,0.7029,0
SD-H-2019,2019,0,0,0,0,0.0108,0
SD-L-2017,2017,0,0,0,0,0,0
SD-L-2018,2018,0,0,0,0,0,0
SD-L-2019,2019,0,0,0,0,0,0
TN-H-2017,2017,0,0,0,0,0,0
TN-H-2018,2018,0,0,0,0,0,0
TN-H-2019,2019,0,0,0,0,0,0
TN-L-2017,2017,0,0,0,0,0,0
TN-L-2018,2018,0,0,0,0,0,0
TN-L-2019,2019,0,0,0,0,0,0
TX-H-2017,2017,0,0,0,0,0,0
TX-H-2018,2018,0,0,0,0,0,0
TX-H-2019,2019,0,0,0,0,0,0
TX-L-2017,2017,0,0,0,0,0,0
TX-L-2018,2018,0,0,0,0,0,0
TX-L-2019,2019,0,0,0,0,0,0
UT-H-2017,2017,0,0,0,0.0193,0.4271,0
UT-H-2018,2018,0,0,0,0,0,0
UT-H-2019,2019,0,0,0,0,0,0
UT-L-2017,2017,0,0,0,0,0,0
UT-L-2018,2018,0,0,0,0,0,0
UT-L-2019,2019,0,0,0,0,0,0
VA-H-2017,2017,0,0,0,0,0,0
VA-H-2018,2018,0,0,0,0,0,0
VA-H-2019,2019,0,0,0,0,0,0
VA-L-2017,2017,0,0,0,0,0,0
VA-L-2018,2018,0,0,0,0,0,0
VA-L-2019,2019,0,0,0,0,0,0
VT-H-2017,2017,0,0,0,0,0,0
VT-H-2018,2018,0,0,0,0,0,0
VT-H-2019,2019,0,0,0,0,0,0
VT-L-2017,2017,0,0,0,0,0,0
VT-L-2018,2018,0,0,0,0,0,0
VT-L-2019,2019,0,0,0,0,0,0
WA-H-2017,2017,0,0,0,0,0,0
WA-H-2018,2018,0,0,0,0,0,0
WA-H-2019,2019,0,0,0,0,0,0
WA-L-2017,2017,0,0,0,0,0,0
WA-L-2018,2018,0,0,0,0,0,0
WA-L-2019,2019,0,0,0,0,0,0
WI-H-2017,2017,0,0,0,0,0.0015,0
WI-H-2018,2018,0,0,0,0,0,0
WI-H-2019,2019,0,0,0,0,0,0
WI-L-2017,2017,0,0,0,0,0,0
WI-L-2018,2018,0,0,0,0,0,0
WI-L-2019,2019,0,0,0,0,0,0
WV-H-2017,2017,0,0,0,0,0,0
WV-H-2018,2018,0,0,0,0,0,0
WV-H-2019,2019,0,0,0,0,0,0
WV-L-2017,2017,0,0,0,0,0,0
WV-L-2018,2018,0,0,0,0,0,0
WV-L-2019,2019,0,0,0,0,0,0
WY-H-2017,2017,0,0,0,0.0002,0.0296,0
WY-H-2018,2018,0,0,0,0,0.0006,0
WY-H-2019,2019,0,0,0,0,0,0
WY-L-2017,2017,0,0,0,0,0,0
WY-L-2018,2018,0,0,0,0,0,0
WY-L-2019,2019,0,0,0,0,0,0
