Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip
4446457.294,412094.2775,2295522.468,11344164452,1072488237,5374363438,90981.22823,4598.157604,28748.15867,1306386.898,135904.2408,698848.4445,17161.1933,1200.952431,7261.71543,44673.14134,2262.515897,15675.33146,19391.41673,1554.125644,6477.703598,2000000
4457383.181,413545.3943,2305593.627,28461390499,3463842836,16632840410,102813.8135,6439.547481,36659.80381,1367385.716,142829.1336,718022.3981,22615.3486,1867.239858,11552.11595,31402.5761,1738.478791,10939.78554,45194.31709,6452.768915,29738.90136,2000000
4450236.329,413342.6468,2299646.092,30482842353,3150790247,16091598076,119966.9746,7987.789618,46684.20546,1238750.14,126854.1772,649024.8605,19175.58866,1656.316967,8769.241831,53758.76751,4398.314553,26827.67494,63131.75568,7018.091316,35412.56363,2000000
4445033.973,414475.3354,2300520.032,38606732106,5334183105,22241077217,131977.5733,8965.446805,47386.84968,1261912.825,132893.2756,669456.1761,22640.69205,1951.854274,10281.26465,76043.01622,4964.863249,31111.53522,57149.47561,8445.090953,33854.7591,2000000
4444895.81,413452.1958,2295022.139,10756293379,1338683365,6082804980,89774.57461,5466.474574,30375.54918,1261678.194,141978.9018,675933.8797,19370.16094,1590.505755,8660.919028,36764.75922,2056.089424,12319.77717,34741.77978,4655.019157,20624.25286,2000000
4446624.479,412636.7091,2300482.426,19130748389,2025040180,10143711818,141408.1723,9316.804817,53741.66738,1451902.846,153007.3894,767402.4718,25598.51771,2031.563506,11791.24364,59347.81536,4812.80256,28602.12508,79312.7298,8234.985593,42796.90865,2000000
4447277.686,412209.1406,2300271.503,10330367611,1029839936,5354744668,124559.3161,7081.356428,43351.52752,1516222.065,167678.3845,815408.2766,25721.96483,2125.170758,11893.0262,90510.855,6283.131319,37732.30667,65684.49493,5579.646249,32629.68951,2000000
4438300.382,414095.1837,2296610.601,24514734324,2686086794,12985251163,127123.4321,8435.28753,45702.33562,1419893.662,153954.0898,759501.0387,24156.80252,2096.557188,11008.04934,73714.28035,5174.559844,31307.33379,55334.55771,8382.549864,32786.65539,2000000
4450520.012,410756.3887,2299987.002,13584991669,1415341698,7229634009,92781.76872,6168.174983,36010.5327,1245109.71,126741.7667,650467.802,15542.8915,1601.133653,8961.361518,45442.84639,4129.755755,24015.77849,47641.5949,5896.030586,27083.97078,2000000
4448962.616,411886.216,2295299.282,8758656693,1005185256,4823471196,88662.50592,5142.430343,29954.20405,1146684.751,121087.7252,605873.1436,16680.07655,1492.402085,7862.191646,49131.54439,3723.034289,22504.98197,19302.3059,2726.464504,11943.7131,2000000
4451903.683,413965.6051,2302415.886,4266756144,499403467.9,2369039303,98854.15401,6472.207936,35791.67606,1589328.92,171528.5448,841680.4395,27740.44784,2556.418142,14018.60572,18868.19716,1695.967201,8406.258251,37921.565,5831.854435,23991.66134,2000000
4448927.054,412823.5148,2298678.545,18325520021,1980900301,9710081230,111940.7796,6527.813449,38826.74483,1282911.916,138960.5789,683939.9568,17628.00326,1403.291251,8089.873914,70882.76316,4583.48523,28928.31979,29045.22666,3276.253823,16506.76006,2000000
4446436.856,414066.9789,2299945.717,17709382432,1740272984,9037620551,136190.5947,7922.174465,47186.74743,1134532.976,119638.6523,611506.7468,20208.12979,1608.900193,9435.120493,67231.2628,4501.323407,27310.01799,127117.0133,11707.85552,61850.27648,2000000
4448750.876,414913.9405,2296445.869,14480374626,1393647122,7321603874,117732.6269,6288.823137,40544.96056,1098111.58,118429.5245,588484.6768,18029.81954,1256.544511,7878.133492,70614.20437,4240.939915,28408.7791,77133.60202,5857.197883,35596.50801,2000000
4443657.66,413229.8275,2297418.73,31462486443,3201284113,16588263830,111824.6427,6331.594909,40948.26371,1326294.176,136284.8013,699970.5053,22097.03421,1800.20235,10381.82091,75904.44479,5439.030989,33994.96559,33919.75278,3369.45231,18528.92197,2000000
4436727.454,411506.0643,2285144.326,30442977241,3223624922,16039338410,100075.9713,6160.616169,36384.96868,1287421.415,138089.5,681023.4164,21133.16565,1749.924219,9697.547811,71482.83061,5005.331013,30790.2457,36803.59192,4358.255554,22133.82309,2000000
4447830.745,412852.1284,2298660.15,11567289041,1235165637,6192351240,86823.42076,4807.864521,29728.66291,1257254.945,132375.37,667662.514,16875.87512,1391.845823,7906.338297,31903.72235,1642.827713,10734.99412,5351.555216,678.9591517,3048.16279,2000000
4445618.507,412282.7183,2298381.372,19220907944,2137812764,10317675265,100342.0796,6866.590954,38255.15732,1444337.827,157526.2897,765507.0272,26281.97328,2397.408443,12514.75821,42341.95288,3807.648704,21537.43452,52979.66086,7408.053405,32319.84542,2000000
4440572.3,411752.5498,2295689.653,17938753777,1583175686,8739341864,149544.7093,8661.823474,53800.48902,1416459.216,152719.6186,760250.3055,24010.46455,2014.804129,11274.15555,79990.05389,5424.724203,33463.57071,100720.177,8154.867595,47621.5654,2000000
4445443.556,413443.6118,2300113.72,18778244045,2086634660,10020714711,125241.3866,7973.454454,45267.85431,1518759.271,168237.1667,818438.8625,24818.18476,2105.141259,11872.17917,69925.84361,4868.803405,28591.49718,53349.59345,6152.326425,27338.63156,2000000
